Sample_directory	Sample	Brain.ID	Region	fastq	clip_fastq	all_mapped_read	uniquely_mapped_read
Sample_AN11989_ba41-42-22_110	AN11989_ba41-42-22_110	AN11989	ba41/42/22	4588824	2965648	4511799	1355218
Sample_AN11989_ba41-42-22_41	AN11989_ba41-42-22_41	AN11989	ba41/42/22	5156176	3777147	5939044	1770296
Sample_AN11989_ba9_109	AN11989_ba9_109	AN11989	ba9	3056801	2300158	3515273	925623
Sample_AN11989_ba9_40	AN11989_ba9_40	AN11989	ba9	5494674	4453124	7743155	1818045
Sample_AN11989_vermis_111	AN11989_vermis_111	AN11989	vermis	5205781	4494483	7502284	2250938
Sample_AN11989_vermis_42	AN11989_vermis_42	AN11989	vermis	4474704	4059349	6823764	1970086
Sample_AN12137_ba41-42-22_20	AN12137_ba41-42-22_20	AN12137	ba41/42/22	5328211	3412379	5399325	1424243
Sample_AN12137-BA9_AN12137_ba9_3rd	AN12137_ba9_3rd	AN12137	ba9	4482186	3951570	6490574	2082614
Sample_AN12137_vermis_21	AN12137_vermis_21	AN12137	vermis	6192366	3411414	5551994	1331060
Sample_AN12240_ba9_7	AN12240_ba9_7	AN12240	ba9	3707359	2093853	3278802	911619
Sample_AN12240_vermis_9	AN12240_vermis_9	AN12240	vermis	3546886	2557940	4390039	1135382
Sample_AN12457_ba41-42-22_35	AN12457_ba41-42-22_35	AN12457	ba41/42/22	4440686	2498242	3841020	1133026
Sample_AN12457_ba9_34	AN12457_ba9_34	AN12457	ba9	5555050	3735785	5889241	1709361
Sample_AN12457_vermis_36	AN12457_vermis_36	AN12457	vermis	5831964	4555011	7762998	1859463
Sample_AN13295_ba41-42-22_89	AN13295_ba41-42-22_89	AN13295	ba41/42/22	4944435	3680027	5894920	1765521
Sample_AN13295_ba9_88	AN13295_ba9_88	AN13295	ba9	4593452	4223533	6626214	2131980
Sample_AN13295_vermis_90	AN13295_vermis_90	AN13295	vermis	4596022	3714673	5914206	1660976
Sample_AN13872_ba41-42-22_50	AN13872_ba41-42-22_50	AN13872	ba41/42/22	5812098	4051562	6968010	2063953
Sample_AN13872_ba9_49	AN13872_ba9_49	AN13872	ba9	4094713	3780772	6112012	1904263
Sample_AN13872_vermis_51	AN13872_vermis_51	AN13872	vermis	3252126	2752101	4767683	1105886
Sample_AN14757_ba41-42-22_1st	AN14757_ba41-42-22_1st	AN14757	ba41/42/22	6140419	5239553	8375121	2678667
Sample_AN14757_ba41-42-22_38	AN14757_ba41-42-22_38	AN14757	ba41/42/22	4602206	4032837	6393316	1745904
Sample_AN14757_ba9_2nd	AN14757_ba9_2nd	AN14757	ba9	9903500	8216944	11204696	3283485
Sample_AN14757_vermis_2nd	AN14757_vermis_2nd	AN14757	vermis	5960589	4979629	8553154	2103000
Sample_AN14757_vermis_39	AN14757_vermis_39	AN14757	vermis	2538732	1861469	3191397	848760
Sample_AN14762_ba41-42-22_1st	AN14762_ba41-42-22_1st	AN14762	ba41/42/22	4429255	3355812	5260585	1485498
Sample_AN14762_ba9_1st	AN14762_ba9_1st	AN14762	ba9	3355668	2463225	3931366	1304872
Sample_AN14762_vermis_1st	AN14762_vermis_1st	AN14762	vermis	4146061	3449771	5937910	1418673
Sample_AN14829_ba41-42-22_1st	AN14829_ba41-42-22_1st	AN14829	ba41/42/22	4265287	2925905	4827995	1409066
Sample_AN14829_ba9_1st	AN14829_ba9_1st	AN14829	ba9	5779053	5323561	8806179	2484319
Sample_AN14829_vermis_1st	AN14829_vermis_1st	AN14829	vermis	4942519	3250973	5620055	1335702
Sample_AN15088-BA41-42-22_AN15088_ba41-42-22_3rd	AN15088_ba41-42-22_3rd	AN15088	ba41/42/22	5059733	4614831	7952416	2226389
Sample_AN15088_ba9_1st	AN15088_ba9_1st	AN15088	ba9	1566050	1480131	2186596	804532
Sample_AN15566_ba9_28	AN15566_ba9_28	AN15566	ba9	4023016	3373783	5163656	1547258
Sample_AN15566_vermis_30	AN15566_vermis_30	AN15566	vermis	5001325	4147315	6988289	1735564
Sample_AN16115_ba9_70	AN16115_ba9_70	AN16115	ba9	4882483	4410672	7266765	2420762
Sample_AN16641_ba41-42-22_74	AN16641_ba41-42-22_74	AN16641	ba41/42/22	4978696	3566805	6025547	1586996
Sample_AN16641_vermis_75	AN16641_vermis_75	AN16641	vermis	14766218	7063083	12215254	2811385
Sample_AN17138_ba41-42-22_44	AN17138_ba41-42-22_44	AN17138	ba41/42/22	5628003	5244205	9190429	2240573
Sample_AN17138_ba9_43	AN17138_ba9_43	AN17138	ba9	5823486	5116321	9303819	2281783
Sample_AN17138_vermis_45	AN17138_vermis_45	AN17138	vermis	4432453	4194443	7475157	1569936
Sample_AN17254_ba9_98	AN17254_ba9_98	AN17254	ba9	4371398	1974786	2916869	936713
Sample_AN17254_vermis_100	AN17254_vermis_100	AN17254	vermis	6438715	5568976	9671002	2428162
Sample_AN17425_ba41-42-22_1st	AN17425_ba41-42-22_1st	AN17425	ba41/42/22	5302821	3901708	6188600	1835079
Sample_AN17425_ba41-42-22_32	AN17425_ba41-42-22_32	AN17425	ba41/42/22	5337302	3384893	5489180	1443304
Sample_AN17425_ba9_1st	AN17425_ba9_1st	AN17425	ba9	4395243	3591518	5445889	1639923
Sample_AN17425_ba9_31	AN17425_ba9_31	AN17425	ba9	4105917	2661748	4181535	1104312
Sample_AN17425_vermis_1st	AN17425_vermis_1st	AN17425	vermis	5028900	4089872	6535785	2078425
Sample_AN17425_vermis_33	AN17425_vermis_33	AN17425	vermis	5205516	4645808	7669252	2086422
Sample_AN17515-BA41-42-22_AN17515_ba41-42-22_3rd	AN17515_ba41-42-22_3rd	AN17515	ba41/42/22	4880080	4546854	7976520	1943774
Sample_AN17515_ba9_1st	AN17515_ba9_1st	AN17515	ba9	4608522	4259720	6897299	1775822
Sample_AN17515_vermis_1st	AN17515_vermis_1st	AN17515	vermis	5078829	3867493	6601145	1696970
Sample_AN17678_vermis_1st	AN17678_vermis_1st	AN17678	vermis	4688385	3954643	6799935	1459099
Sample_AN17777_ba41-42-22_83	AN17777_ba41-42-22_83	AN17777	ba41/42/22	5169481	3073413	5089789	1429928
Sample_AN17777_ba9_82	AN17777_ba9_82	AN17777	ba9	5545701	3221237	5225891	1405031
Sample_AN17777_vermis_84	AN17777_vermis_84	AN17777	vermis	3238221	2748204	4860036	1250177
Sample_AN19442-BA9_AN19442_ba9_3rd	AN19442_ba9_3rd	AN19442	ba9	4054667	3749866	6357656	2121889
Sample_AN19511_ba41-42-22_113	AN19511_ba41-42-22_113	AN19511	ba41/42/22	4249648	2435123	3904397	1058765
Sample_AN19511_ba9_112	AN19511_ba9_112	AN19511	ba9	4955854	3222910	5068868	1590064
Sample_AN19511_vermis_114	AN19511_vermis_114	AN19511	vermis	5562427	5170548	8811953	1838967
Sample_AN19760_ba9_25	AN19760_ba9_25	AN19760	ba9	4206458	3094826	4559853	1565590
